"Best parameters:
,""{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""

Score:,0.7537037037037037
0.73148 (+/-0.15853) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 68, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74444 (+/-0.15099) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 68, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74444 (+/-0.14402) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 69, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14778) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 69, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.16127) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 70, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.13739) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 70, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.14402) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 71, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74815 (+/-0.16288) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 71, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.15217) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 72, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.15262) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 72, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74444 (+/-0.15099) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 73, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14239) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 73, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14778) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 74, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14750) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 74, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.72963 (+/-0.13374) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 75, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74630 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 75, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14750) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 76, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14581) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 76, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15617) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 77, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

